P2 - HIGH, Clear-Text Protocol - HTTP, http://10.10.100.155:80/, HTTP/1.1 200 OK
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 0095E929-7573-5E4A-A7FA-F6598A35E8DE 6.8 https://vulners.com/githubexploit/0095E929-7573-5E4A-A7FA-F6598A35E8DE
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 1337DAY-ID-30937 0.0 https://vulners.com/zdt/1337DAY-ID-30937
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 1337DAY-ID-31730 5.0 https://vulners.com/zdt/1337DAY-ID-31730
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 1337DAY-ID-32009 5.8 https://vulners.com/zdt/1337DAY-ID-32009
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 1337DAY-ID-32328 5.8 https://vulners.com/zdt/1337DAY-ID-32328
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 1337DAY-ID-32502 7.2 https://vulners.com/zdt/1337DAY-ID-32502
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 1337DAY-ID-33575 4.3 https://vulners.com/zdt/1337DAY-ID-33575
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 1337DAY-ID-33577 5.8 https://vulners.com/zdt/1337DAY-ID-33577
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 1337DAY-ID-35422 4.3 https://vulners.com/zdt/1337DAY-ID-35422
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 1337DAY-ID-38427 7.5 https://vulners.com/zdt/1337DAY-ID-38427
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 4013EC74-B3C1-5D95-938A-54197A58586D 4.3 https://vulners.com/githubexploit/4013EC74-B3C1-5D95-938A-54197A58586D
